vocal,drums,guitar,pop_rock,ambient,electronic,genre,instrument
0.011653215,0.040760368,0.23100317,0.028742403,0.04441628,0.47273692,electronic,guitar
0.009168446,0.058594942,0.07397136,0.02522254,0.09090796,0.55849314,electronic,guitar
0.012858659,0.04889238,0.10429838,0.030357808,0.052454323,0.37690884,electronic,guitar
0.015081316,0.06256235,0.024105102,0.023169905,0.12510133,0.58335507,electronic,drums
0.0158194,0.06989157,0.031352013,0.020046324,0.14472634,0.61422783,electronic,drums
0.0109754205,0.14736697,0.01532343,0.025651217,0.1902304,0.5913202,electronic,drums
0.038346857,0.1562472,0.033094853,0.07463914,0.059741408,0.46835297,electronic,drums
0.036024034,0.15198123,0.026228726,0.07844812,0.07099745,0.46665895,electronic,drums
0.028006583,0.13135922,0.03508672,0.07793927,0.0858061,0.43388316,electronic,drums
0.036667734,0.11468294,0.050204366,0.054427743,0.092178375,0.41692862,electronic,drums
0.0665862,0.1425964,0.10875708,0.09418619,0.058806777,0.31396842,electronic,drums
0.04218188,0.13332519,0.03609106,0.05900368,0.035808563,0.47260788,electronic,drums
0.0724884,0.16288927,0.03376901,0.1092585,0.054652303,0.41134533,electronic,drums
